
Minimum time:  1461	(0.37327 ms)

Test #		Time
702:		1489	(0.380423 ms)
703:		1495	(0.381956 ms)
704:		1495	(0.381956 ms)
705:		1485	(0.379401 ms)
706:		1608	(0.410826 ms)
707:		1499	(0.382978 ms)
708:		1557	(0.397796 ms)
709:		1472	(0.37608 ms)
710:		1480	(0.378124 ms)
711:		1481	(0.378379 ms)
712:		1479	(0.377868 ms)
713:		1470	(0.375569 ms)
714:		1480	(0.378124 ms)
715:		1494	(0.381701 ms)
716:		1494	(0.381701 ms)
717:		1522	(0.388854 ms)
718:		1486	(0.379657 ms)
719:		1482	(0.378635 ms)
720:		1485	(0.379401 ms)
721:		1490	(0.380679 ms)
722:		1490	(0.380679 ms)
723:		1497	(0.382467 ms)
724:		1498	(0.382723 ms)
725:		1506	(0.384767 ms)
726:		1483	(0.37889 ms)
727:		1490	(0.380679 ms)
728:		1489	(0.380423 ms)
729:		1488	(0.380168 ms)
730:		1476	(0.377102 ms)
731:		1516	(0.387321 ms)
732:		1522	(0.388854 ms)
733:		1483	(0.37889 ms)
734:		1480	(0.378124 ms)
735:		1490	(0.380679 ms)
736:		1484	(0.379146 ms)
737:		1484	(0.379146 ms)
738:		1475	(0.376846 ms)
739:		1491	(0.380934 ms)
740:		1481	(0.378379 ms)
741:		1491	(0.380934 ms)
742:		1492	(0.38119 ms)
743:		1495	(0.381956 ms)
744:		1491	(0.380934 ms)
745:		1495	(0.381956 ms)
746:		1491	(0.380934 ms)
747:		1487	(0.379912 ms)
748:		1496	(0.382212 ms)
749:		1516	(0.387321 ms)
750:		1555	(0.397285 ms)
751:		1495	(0.381956 ms)
752:		1491	(0.380934 ms)
753:		1567	(0.400351 ms)
754:		1517	(0.387577 ms)
755:		1484	(0.379146 ms)
756:		1475	(0.376846 ms)
757:		1485	(0.379401 ms)
758:		1488	(0.380168 ms)
759:		1483	(0.37889 ms)
760:		1479	(0.377868 ms)
761:		1505	(0.384511 ms)
762:		1484	(0.379146 ms)
763:		1479	(0.377868 ms)
764:		1480	(0.378124 ms)
765:		1488	(0.380168 ms)
766:		1481	(0.378379 ms)
767:		1487	(0.379912 ms)
768:		1488	(0.380168 ms)
769:		1488	(0.380168 ms)
770:		1483	(0.37889 ms)
771:		1518	(0.387832 ms)
772:		1520	(0.388343 ms)
773:		1486	(0.379657 ms)
774:		1488	(0.380168 ms)
775:		1496	(0.382212 ms)
776:		1490	(0.380679 ms)
777:		1489	(0.380423 ms)
778:		1503	(0.384 ms)
779:		1484	(0.379146 ms)
780:		1487	(0.379912 ms)
781:		1493	(0.381445 ms)
782:		1488	(0.380168 ms)
783:		1495	(0.381956 ms)
784:		1498	(0.382723 ms)
785:		1485	(0.379401 ms)
786:		1484	(0.379146 ms)
787:		1496	(0.382212 ms)
788:		1494	(0.381701 ms)
789:		1490	(0.380679 ms)
790:		1621	(0.414148 ms)
791:		1489	(0.380423 ms)
792:		1492	(0.38119 ms)
793:		1481	(0.378379 ms)
794:		1491	(0.380934 ms)
795:		1507	(0.385022 ms)
796:		1491	(0.380934 ms)
797:		1484	(0.379146 ms)
798:		1514	(0.38681 ms)
799:		1491	(0.380934 ms)
800:		1498	(0.382723 ms)
801:		1493	(0.381445 ms)
802:		1492	(0.38119 ms)
803:		1487	(0.379912 ms)
804:		1487	(0.379912 ms)
805:		1493	(0.381445 ms)
806:		1488	(0.380168 ms)
807:		1491	(0.380934 ms)
808:		1539	(0.393198 ms)
809:		1482	(0.378635 ms)
810:		1471	(0.375824 ms)
811:		1482	(0.378635 ms)
812:		1487	(0.379912 ms)
